SEGGER J-Link V6.42b Log File
DLL Compiled: Feb  5 2019 17:31:40
Logging started @ 2019-05-28 20:46

T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 50)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 51)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 52)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 53)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 54)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 55)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 56)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 57)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 58)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 59)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 60)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 61)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 62)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 63)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 64)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 65)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 66)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 67)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 68)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 69)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 70)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 71)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 72)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 73)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 74)  returns 0 (0000ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 75)  returns 0 (0000ms, 0154ms total)
